"","Nutzer","Frage","Zeitpunkt","Antwort","Gewicht","Alter","Geschlecht","Bevölkerungsdichte","Kaufkraft","Berufliche.Stellung","Berufsbildung","Beschäftigungsstatus","Familienstand","Kinder.im.Haushalt","Ost_West","Religion","Bildungsabschluss","Ontic","ontic_bin","CDU/CSU","SPD","Grüne","FDP","AfD","Linke"
"1","4ef8efd5aa20bce57b749190760fe93a7eaefea5","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.752103160575985,"50 - 64","Männer","Sehr niedrig","Sehr niedrig","Weiß nicht / keine Angabe","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Osten","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"2","8aff2853b06841cf80812ccd959d5e62885d2178","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.42099581464338,"65 +","Frauen","Mittel","Sehr niedrig","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","CDU/CSU",0,1,0,0,0,0,0
"3","d685e969ab94b79d06514071de6f165915f2b712","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.04963794740001,"65 +","Männer","Mittel","Hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Hauptschule / kein Abschluss","CDU/CSU",0,1,0,0,0,0,0
"4","2e3e3a67661c5cf406ba40d24e0123d47b72ec60","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.22405023048747,"30 - 39","Männer","Sehr hoch","Hoch","Angestellter","Studium oder höher","Arbeitnehmer","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","SPD",0,0,1,0,0,0,0
"5","21d2dc030879d0d9231dbd231e79cece1bb2607b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.699665762264347,"65 +","Männer","Hoch","Sehr hoch","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0
"6","92cadaba673ff033fb02c56b9e3ba8b6a1ebaa6b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.683235391167084,"18 - 29","Frauen","Sehr hoch","Sehr hoch","Selbstständig","Studium oder höher","Selbstständige","Ledig","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Linke",0,0,0,0,0,0,1
"7","6d9a5e54a405f6d5446968dd596d475b0cee3068","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.811691424589691,"50 - 64","Männer","Hoch","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Ledig","Weiß nicht / keine Angabe","Osten","Konfessionslos","Mittlere Reife","AfD",0,0,0,0,0,1,0
"8","53dd518665978e1b9710a4ca525b1340339e485b","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.632163897579968,"50 - 64","Männer","Mittel","Mittel","Selbstständig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0
"9","ea6f4bd0f5d9c49f993736332c810fb66fcc4ba8","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.82530672368841,"18 - 29","Männer","Sehr hoch","Sehr niedrig","Selbstständig","Berufsausbildung","Selbstständige","Ledig","Keine Kinder im Haushalt","Osten","Evangelisch","Abitur","Linke",0,0,0,0,0,0,1
"10","15c648dbbc35cebf8a58a0bb7c5a6401514efdf4","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.712524167954564,"50 - 64","Männer","Sehr niedrig","Hoch","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","SPD",0,0,1,0,0,0,0
"11","1696e3cc96065e8829b9ded43907b7d9c2fbd9fc","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.984416798149395,"50 - 64","Frauen","Mittel","Niedrig","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"12","91b0c7a14cedcb420f1020c673b1884eff558e16","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.15342581611573,"65 +","Männer","Niedrig","Hoch","Nicht berufstätig","Berufsausbildung","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Mittlere Reife","AfD",0,0,0,0,0,1,0
"13","b016ecbc00f9355a9258edd9ea4bf346ba5a69aa","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.759453198204291,"50 - 64","Frauen","Hoch","Hoch","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","SPD",0,0,1,0,0,0,0
"14","b6e34cb591d3d1a20f4f9d4c198b268d5732d753","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.554717022069466,"65 +","Männer","Sehr hoch","Sehr niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0
"15","6d92743302cb81b4a0d9905298433480b8a01930","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",1.61565098079611,"65 +","Frauen","Hoch","Niedrig","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","SPD",0,0,1,0,0,0,0
"16","2df220a16b004109b13c78ebfeeb5b8d3c539b3d","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.924129212778945,"50 - 64","Frauen","Niedrig","Sehr niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Hauptschule / kein Abschluss","SPD",0,0,1,0,0,0,0
"17","6c6c818e949ce011357de32b8142250a57bb9089","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.499216979324382,"50 - 64","Männer","Mittel","Hoch","Nicht berufstätig","Studium oder höher","Rentner","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","Grüne",0,0,0,1,0,0,0
"18","0c57cb22bdee44f73902449f9d7f8bcac4645916","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.752869224280798,"50 - 64","Frauen","Mittel","Mittel","Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Katholisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"19","1a8916d6a4ce052b69bf2bb656eb26e44a979deb","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.458207732070162,"50 - 64","Männer","Hoch","Mittel","Leitender Angestellter","Berufsausbildung","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Konfessionslos","Abitur","Grüne",0,0,0,1,0,0,0
"20","1ac1986fd000d1911fe8b46cb29b9da09f25f967","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.388181088180567,"65 +","Männer","Mittel","Sehr hoch","Beamter","Studium oder höher","Selbstständige","Verheiratet / Verwitwet","Kinder im Haushalt","Westen","Katholisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"21","074549b7bebcc7c2805ca494d8f3e7ea39ee2304","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.36311750076756,"50 - 64","Männer","Hoch","Niedrig","Angestellter","Berufsausbildung","Arbeitnehmer","Geschieden","Keine Kinder im Haushalt","Westen","Konfessionslos","Mittlere Reife","AfD",0,0,0,0,0,1,0
"22","a802c30dd9777fd236ff604d0facc09c7aa0ffc6","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.474084404402236,"50 - 64","Männer","Sehr niedrig","Mittel","Beamter","Berufsausbildung","Rentner","Geschieden","Weiß nicht / keine Angabe","Westen","Konfessionslos","Hauptschule / kein Abschluss","Sonstige",0,0,0,0,0,0,0
"23","e9283a8244bc6f4124558a7ac8edb409bcb22e47","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.328359669103784,"65 +","Männer","Niedrig","Sehr hoch","Selbstständig","Studium oder höher","Selbstständige","Verheiratet / Verwitwet","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Grüne",0,0,0,1,0,0,0
"24","2da03d8220fd546f061b2e8da46fb004a4e2d92d","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",2.73613485283448,"40 - 49","Frauen","Niedrig","Mittel","Angestellter","Studium oder höher","Arbeitnehmer","Verheiratet / Verwitwet","Kinder im Haushalt","Osten","Evangelisch","Abitur","CDU/CSU",0,1,0,0,0,0,0
"25","f7a3a342c63d1a4e85f53087cb5d3279d6c077a1","Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?","2021-09-20","Bin schon fest entschieden",0.696369343721898,"50 - 64","Männer","Hoch","Mittel","Angestellter","Studium oder höher","Arbeitnehmer","Geschieden","Keine Kinder im Haushalt","Westen","Evangelisch","Abitur","Linke",0,0,0,0,0,0,1
