Nutzer,Frage,Zeitpunkt,Antwort,Gewicht,Alter,Geschlecht,Bevölkerungsdichte,Kaufkraft,Berufliche Stellung,Berufsbildung,Beschäftigungsstatus,Familienstand,Kinder im Haushalt,Ost_West,Religion,Bildungsabschluss,Sonntagsfrage
7054a097bba27e7281ada2e152928c8295a46c8a,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.99070119069039497,65 +,Männer,Hoch,Niedrig,Nicht berufstätig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,CDU/CSU
5f7b9cf029b40d826d3146083c3d0244e861466b,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.47867968823718299,65 +,Männer,Sehr hoch,Sehr niedrig,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,Verheiratet / Verwitwet,Weiß nicht / keine Angabe,Westen,Weiß nicht / keine Angabe,Weiß nicht / keine Angabe,AfD
6772e45dafb75815e60662406086316c93406c9d,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.67870694680308097,65 +,Männer,Hoch,Sehr hoch,Weiß nicht / keine Angabe,Studium oder höher,Arbeitnehmer,Geschieden,Weiß nicht / keine Angabe,Westen,Konfessionslos,Abitur,SPD
a7f254f2575d44768bd9cabc7c169252a066a813,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.78653050017215997,65 +,Männer,Hoch,Sehr hoch,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Mittlere Reife,CDU/CSU
3dd101dc4c0c8418838b31737dec362428f2c8e7,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.33149940363165298,65 +,Männer,Sehr niedrig,Hoch,Nicht berufstätig,Studium oder höher,Rentner,Geschieden,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,Grüne
ca2726936eb89242ba8d9060c4da4a242526f61f,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,1.4375092724137699,65 +,Frauen,Niedrig,Sehr niedrig,Beamter,Studium oder höher,Arbeitnehmer,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Osten,Konfessionslos,Abitur,CDU/CSU
c8750a5a011ada7803baa2bc3f70e012856a252d,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.96954990063762003,65 +,Männer,Hoch,Mittel,Selbstständig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Konfessionslos,Abitur,CDU/CSU
0a0b50a4bfb56a45186a9fdfce2e1cfe07c99278,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.68413115066317498,50 - 64,Männer,Niedrig,Niedrig,Nicht berufstätig,Berufsausbildung,Rentner,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Hauptschule / kein Abschluss,CDU/CSU
72f38aea934e80dc5449549ab33fdcb5901cab7d,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.99070119069039497,65 +,Männer,Hoch,Niedrig,Weiß nicht / keine Angabe,Studium oder höher,Selbstständige,Verheiratet / Verwitwet,Keine Kinder im Haushalt,Westen,Katholisch,Abitur,CDU/CSU
5b3df728fc61920644e4f9e06976ec7bcfe8a72c,Sind Sie bereits fest entschieden bezüglich Ihrer Entscheidung zur Bundestagswahl 2021?,2021-09-01,Bin schon fest entschieden,0.75813810007085503,50 - 64,Frauen,Mittel,Hoch,Nicht berufstätig,Studium oder höher,Rentner,Verheiratet / Verwitwet,Weiß nicht / keine Angabe,Westen,Konfessionslos,Abitur,AfD
